iter	Passed	Remaining
400	20801	186690
401	20848	186596
402	20910	186641
403	20958	186547
404	21007	186469
405	21071	186529
406	21132	186557
407	21178	186451
408	21223	186343
409	21273	186276
410	21336	186315
411	21383	186221
412	21439	186203
413	21488	186130
414	21540	186076
415	21587	185981
416	21632	185876
417	21684	185825
418	21734	185753
419	21793	185767
420	21841	185681
421	21893	185629
422	21947	185593
423	21997	185523
424	22049	185472
425	22098	185397
426	22151	185356
427	22204	185316
428	22254	185248
429	22313	185252
430	22366	185210
431	22412	185109
432	22466	185073
433	22521	185048
434	22575	185013
435	22622	184919
436	22670	184842
437	22718	184760
438	22779	184775
439	22826	184687
440	22874	184605
441	22921	184515
442	22974	184469
443	23023	184398
444	23079	184374
445	23137	184376
446	23189	184324
447	23243	184286
448	23297	184256
449	23346	184178
450	23394	184098
451	23451	184081
452	23500	184008
453	23549	183932
454	23610	183951
455	23662	183900
456	23713	183841
457	23768	183814
458	23815	183730
459	23867	183678
460	23918	183619
461	23974	183593
462	24021	183507
463	24075	183473
464	24126	183410
465	24181	183382
466	24231	183320
467	24285	183281
468	24343	183274
469	24394	183215
470	24441	183129
471	24488	183044
472	24540	182987
473	24601	183006
474	24648	182920
475	24703	182891
476	24749	182795
477	24802	182749
478	24864	182769
479	24912	182690
480	24961	182618
481	25010	182543
482	25056	182453
483	25102	182359
484	25150	182273
485	25199	182206
486	25253	182164
487	25309	182142
488	25358	182073
489	25407	182002
490	25460	181955
491	25509	181881
492	25561	181836
493	25611	181768
494	25660	181694
495	25713	181654
496	25760	181569
497	25813	181523
498	25872	181523
499	25922	181455
500	25976	181419
501	26026	181358
502	26081	181324
503	26136	181292
504	26183	181209
505	26236	181165
506	26287	181106
507	26342	181078
508	26400	181071
509	26452	181018
510	26503	180961
511	26554	180900
512	26600	180813
513	26650	180745
514	26707	180726
515	26754	180646
516	26803	180571
517	26858	180542
518	26907	180474
519	26956	180398
520	27008	180353
521	27073	180387
522	27121	180309
523	27171	180244
524	27231	180246
525	27283	180198
526	27331	180118
527	27380	180050
528	27434	180008
529	27482	179931
530	27531	179860
531	27583	179812
532	27639	179788
533	27691	179737
534	27741	179671
535	27790	179603
536	27846	179576
537	27900	179539
538	27955	179504
539	28001	179417
540	28056	179388
541	28104	179305
542	28150	179218
