iter	RMSE
202	1.884388273
203	1.884212708
204	1.883860714
205	1.883576307
206	1.883400165
207	1.88308798
208	1.882887096
209	1.88236226
210	1.881390005
211	1.881106545
212	1.880941935
213	1.880604553
214	1.880485263
215	1.880418128
216	1.880092358
217	1.879705036
218	1.879314423
219	1.879126296
220	1.879022402
221	1.878752377
222	1.878518279
223	1.878279741
224	1.878108771
225	1.87799745
226	1.877811774
227	1.877606671
228	1.877246001
229	1.876924787
230	1.876591223
231	1.876365304
232	1.875929594
233	1.875706245
234	1.875595412
235	1.875338837
236	1.875283694
237	1.87495495
238	1.874751238
239	1.8746033
240	1.87447435
241	1.874262253
242	1.874173367
243	1.873921207
244	1.873701597
245	1.873449625
246	1.872995549
247	1.87269831
248	1.872562404
249	1.87243167
250	1.872299979
251	1.871921157
252	1.871736775
253	1.871543524
254	1.871375163
255	1.871155886
256	1.871072291
257	1.87081731
258	1.870354561
259	1.87016433
260	1.869684713
261	1.869475807
262	1.869261498
263	1.869111352
264	1.869002027
265	1.868821092
266	1.868431434
267	1.868274445
268	1.868060885
269	1.867921791
270	1.867632423
271	1.867394586
272	1.86705913
273	1.866842261
274	1.866725578
275	1.866579032
276	1.866274304
277	1.866082389
278	1.865875553
279	1.865656454
280	1.865456737
281	1.865207712
282	1.864936258
283	1.864704993
284	1.864528781
285	1.864155807
286	1.864027657
287	1.863892261
288	1.863603791
289	1.863382965
290	1.863260477
291	1.863037323
292	1.862792484
293	1.862565527
294	1.862424689
295	1.862150097
296	1.861926366
297	1.86174201
298	1.861522616
299	1.861375597
300	1.861252214
301	1.861086037
302	1.860848254
303	1.860679434
304	1.860581251
305	1.860351671
306	1.860145851
307	1.859895351
308	1.859637437
309	1.859411431
310	1.859300709
311	1.858896579
312	1.858834138
313	1.858638399
314	1.858282006
315	1.857987125
316	1.857801551
317	1.857618187
318	1.857445189
319	1.857151449
320	1.856921636
321	1.856638774
322	1.856502904
323	1.856361351
324	1.856129081
325	1.856022179
326	1.855901054
327	1.855573275
328	1.855387396
329	1.855025467
330	1.854916715
331	1.85481963
332	1.854651921
333	1.854334769
334	1.854160379
335	1.853908687
336	1.853695706
337	1.853441525
338	1.853209656
339	1.853050867
340	1.852916586
341	1.852728077
342	1.852501483
343	1.852220693
344	1.852029047
345	1.851917627
346	1.851781091
347	1.851608825
348	1.851306937
349	1.851083174
350	1.850967479
351	1.850613125
352	1.850326357
353	1.850150183
354	1.849941054
355	1.849827781
356	1.849665376
357	1.849528929
358	1.849365219
359	1.849238539
360	1.84901075
361	1.848774229
362	1.848619603
363	1.848333487
364	1.848237657
365	1.848165381
366	1.847910952
367	1.847800693
368	1.847616337
369	1.847565362
370	1.847296311
371	1.847084681
372	1.846926775
373	1.846850156
374	1.846721382
375	1.846556525
376	1.846406648
377	1.846280919
378	1.846107755
379	1.845960534
380	1.845764071
381	1.845580473
382	1.845338832
383	1.84517616
384	1.845026042
385	1.84492709
386	1.844906761
387	1.844743345
388	1.844538542
389	1.844431994
390	1.844383754
391	1.844176665
392	1.843975778
393	1.843787381
394	1.843662051
395	1.84342985
396	1.843285945
397	1.843152365
398	1.843026413
399	1.842873039
400	1.842683888
401	1.842518542
402	1.84229416
403	1.842228459
404	1.842042646
405	1.841871717
406	1.841614363
407	1.841497816
408	1.841372587
409	1.84115597
410	1.840731595
411	1.840566009
412	1.840410694
413	1.839314502
414	1.839149818
415	1.839037747
416	1.838964916
417	1.838814292
418	1.838627104
419	1.838383777
420	1.838207294
421	1.838061371
422	1.837940028
423	1.837694034
424	1.83744511
425	1.837294232
426	1.837061033
427	1.836725255
428	1.836581082
429	1.836369312
430	1.836312742
431	1.836260164
432	1.836175367
433	1.836039465
434	1.835846387
435	1.835746876
436	1.835677008
437	1.835479703
438	1.835319251
439	1.835200048
440	1.835027063
441	1.834892752
442	1.834684334
443	1.834592112
444	1.834506464
445	1.834452997
446	1.834323094
447	1.834166541
448	1.83405623
449	1.833915589
450	1.833813134
451	1.833616532
452	1.833437461
453	1.833345047
454	1.833077846
455	1.833038215
456	1.832882907
457	1.832752313
458	1.832649405
459	1.832547784
460	1.832415486
461	1.832383653
462	1.832217765
463	1.832163261
464	1.83197998
465	1.831863401
466	1.831651538
467	1.831494692
468	1.831306691
469	1.831067431
470	1.830956481
471	1.830766292
472	1.830612796
473	1.830345132
474	1.830106651
475	1.829882882
476	1.829848871
477	1.82967648
478	1.829414112
479	1.829274149
480	1.829153129
481	1.829118199
482	1.829053448
483	1.828945739
484	1.828755665
485	1.828562012
486	1.82829586
487	1.828097369
488	1.827876526
489	1.827752823
490	1.827546569
491	1.82734845
492	1.827079467
493	1.826939649
494	1.826842049
495	1.826678248
496	1.826601427
497	1.826449653
498	1.826341338
499	1.826282967
500	1.826067087
501	1.825691374
502	1.825505887
503	1.825316168
504	1.825224315
505	1.825014015
506	1.824875596
507	1.824783332
508	1.824701762
509	1.824538677
510	1.824383749
511	1.824184119
512	1.824066069
513	1.823034882
514	1.822809725
515	1.822739491
516	1.822665101
517	1.822435873
518	1.822282649
519	1.822148242
520	1.822020839
521	1.821817703
522	1.821699305
523	1.82148561
524	1.821303333
525	1.821210303
526	1.821132536
527	1.820994991
528	1.820951848
529	1.820856461
530	1.820668402
531	1.820449257
532	1.820295215
533	1.820172103
534	1.820109243
535	1.819838344
536	1.819708764
537	1.819626121
538	1.819490543
539	1.81936536
540	1.819289726
541	1.819220527
542	1.819081082
