feature,fold_1,fold_2,fold_3,fold_4,fold_5
rolling_price_std_t7,3315,3661,3530,3521,3355
rolling_price_std_t30,10743,10536,10840,11443,11097
lag_t27,38577,39227,39701,38077,37993
rolling_mean_t60,41538,41109,42396,40864,41009
rolling_std_t60,33878,33467,34066,34402,34102
---,---,---,---,---,---
item_id,56792,57680,57283,56375,58042
dept_id,3024,2994,2995,3036,3110
cat_id,1024,1072,1022,1064,1076
store_id,29914,29417,30213,30194,29562
state_id,6019,6047,6259,6077,6308
year,19080,18815,19046,19512,18980
month,5430,5327,5456,5416,5322
week,27830,27632,28317,28072,28098
day,45499,45697,46829,45414,45842
weekday,22361,22138,22838,22080,22270
event_name_1,2887,2870,2978,2985,3081
event_type_1,1199,1116,1135,1172,1270
snap_CA,2349,2411,2465,2359,2388
snap_TX,5162,5221,5296,5216,5255
snap_WI,5633,5700,5809,5682,5597
sell_price,45996,47009,46665,46933,48225
lag_t28,37626,38737,38229,38315,38729
lag_t29,37492,37459,37530,38209,38394
lag_t30,38721,39456,38033,39340,39108
rolling_mean_t7,57256,58009,57865,58099,58891
rolling_std_t7,61940,63602,61937,62591,63065
rolling_mean_t30,55069,55487,55156,55522,55240
rolling_mean_t90,42807,42624,42471,43083,41792
rolling_mean_t180,48411,47116,47923,48052,47680
rolling_std_t30,41698,41850,41068,41139,39837
price_change_t1,383,351,583,316,459
price_change_t365,16259,16994,16571,16528,16528
rolling_price_std_t7,3576,3941,4219,3794,3891
rolling_price_std_t30,12108,12440,12729,11272,11644
rolling_mean_t60,43023,43106,43101,43703,43441
rolling_std_t60,36091,36482,36779,37250,35675
---,---,---,---,---,---
item_id,60160,61363,60915,60392,61033
dept_id,3928,3512,3505,3461,3750
cat_id,1043,1079,981,1055,1007
store_id,32325,32087,31968,32203,32424
state_id,6483,6846,6778,6716,6962
year,19045,19847,19436,19913,19696
month,6012,6501,6247,6105,6447
week,29844,30305,30153,30211,29284
day,48492,49219,48822,49603,48634
weekday,25316,25430,25643,25597,25470
event_name_1,3169,3271,3125,3249,3148
event_type_1,1547,1492,1496,1523,1492
snap_CA,2971,3036,3070,2974,2870
snap_TX,6168,6383,6336,6019,6197
snap_WI,6447,6430,6755,6537,6529
sell_price,50262,51458,49470,49349,49356
lag_t28,47440,46845,46957,47329,47091
rolling_mean_t7,68903,69505,70327,69338,68905
rolling_std_t7,72974,72024,72280,71693,72648
rolling_mean_t30,60736,60402,60491,60733,60311
rolling_mean_t90,48335,47372,46885,47251,47350
rolling_mean_t180,50884,51029,51152,50656,51378
rolling_std_t30,46188,45024,45724,45235,45801
price_change_t1,509,381,477,470,515
price_change_t365,16340,16125,16895,16228,16736
rolling_price_std_t7,3860,4000,3963,3683,4063
rolling_price_std_t30,13380,12719,13513,12927,13930
rolling_mean_t60,45692,45663,45355,45219,45266
rolling_std_t60,40347,39452,40081,39037,40507
---,---,---,---,---,---
item_id,66955,64092,66571,62032,66201
dept_id,3096,3451,3502,3319,3348
cat_id,987,1073,1013,934,1006
store_id,31706,31995,31328,29808,31898
state_id,7019,7007,7125,6431,6951
year,20666,20527,21061,19096,20789
month,6106,6109,6241,5836,6257
week,30888,30395,30493,28742,30678
day,51573,51917,53988,48456,52974
weekday,28850,28285,28578,26593,29054
event_name_1,3463,3315,3435,3510,3529
event_type_1,1386,1367,1349,1305,1485
snap_CA,2985,2837,2841,2673,2886
snap_TX,6266,6119,6345,5728,6277
snap_WI,6644,6769,6739,6216,6878
sell_price,46604,46696,45728,43937,47231
rolling_mean_t7,75604,74904,73935,69380,74320
rolling_std_t7,79441,76242,79719,72605,78002
rolling_mean_t30,69108,66652,68938,62663,67147
rolling_mean_t90,47373,46981,49390,44194,47047
rolling_mean_t180,49870,48755,50521,45651,49204
rolling_std_t30,47924,47192,48746,44888,48191
price_change_t1,564,553,536,408,493
price_change_t365,17201,16902,16767,15608,16920
rolling_price_std_t7,3846,4306,4189,3884,4306
rolling_price_std_t30,14158,14141,14145,13926,14330
rolling_mean_t60,51496,49505,51814,46781,50311
rolling_std_t60,40880,40243,41716,36645,40852
---,---,---,---,---,---
item_id,62934,66218,67044,68508,60824
dept_id,3370,3418,3286,3667,3201
cat_id,920,944,1089,1033,944
store_id,31532,32035,32020,31822,29544
state_id,6768,7086,7179,7083,6555
year,20728,20545,20444,21269,20071
month,6122,6242,6190,6365,5987
week,30246,30629,31128,30785,28823
day,51399,52102,52231,52281,47398
weekday,28243,29625,29461,28827,25723
event_name_1,3534,3692,3569,3452,3178
event_type_1,1358,1454,1417,1451,1291
snap_CA,2833,2814,2864,2916,2657
snap_TX,6154,6085,6214,6186,5731
snap_WI,6552,6822,6769,6727,6154
sell_price,46077,46756,48487,49593,44980
rolling_mean_t7,71425,72994,74276,72831,67925
rolling_std_t7,76238,78278,78080,78747,71917
rolling_mean_t28,67494,69148,68385,67669,63437
rolling_std_t28,47592,49302,48791,49113,43474
rolling_mean_t56,49677,51029,51794,51693,45861
rolling_std_t56,41046,42154,42048,42483,37737
rolling_mean_t84,47408,47410,47969,47167,43397
rolling_mean_t168,51476,52033,51514,51400,45511
price_change_t1,589,527,532,507,515
price_change_t365,17297,17453,17996,18052,16541
rolling_price_std_t7,4197,4187,4258,4012,3818
rolling_price_std_t28,13074,13724,13765,13161,11914
